quarter,Cluster,R,F,M,Count,R_normalized,F_normalized,M_normalized,CLV,Percent of customer
1,0,-0.3655030691265189,0.11089111957237957,0.12863102538091462,976,0.0011177347242920964,0.9555849844424936,1.0,0.36157760450027937,100.0
2,-1,3.121550219472979,-0.6052800991421405,-1.2011791459823302,1,0.4545454545454546,0.41834168153578255,0.10755321119246762,0.41194078525680977,0.10245901639344263
2,0,-0.3726618673985028,-0.039013305026216284,0.06555220575632595,973,0.00018686349621601907,0.8431326181825999,0.9576672736996561,0.3255789574770396,99.69262295081968
2,1,7.316329196062678,-1.0932410220575708,-1.2705945513946666,2,1.0,0.052292710191972736,0.060967948883558165,0.6470328710561959,0.20491803278688525
3,0,-0.37409892768510433,0.17009847618147095,0.08129452789857645,973,0.0,1.0,0.9682320784716204,0.3703265225449437,99.69262295081968
3,1,2.8885069429957735,-1.1629497253312036,-1.3614411985777908,3,0.4242424242424243,0.0,0.0,0.2658727272727273,0.3073770491803279
4,0,1.0828990979951294,-0.2351383124154243,-0.267007234399066,976,0.18945603576751116,0.696007400079717,0.7344838368110236,0.3821530545433079,100.0
